俳句,作者,作者よみがな,季語,親季語,季語よみがな,季節,詳細季節,手入力した季語,発行年,発行月,号数
カールするまつ毛に添ふや朧月,成本魚乃,なるもといの,朧月,朧月,おぼろづき,haru,三春,,2025,4,199
一輪に陽の｜透《とお》｜り《お》けり｜金《きん》｜鳳《んぽう》｜花《うげ》,成本魚乃,なるもといの,金鳳花,金鳳花,きんぽうげ,haru,晩春,,2025,4,199
かけ違ふもどかしさかな春の服,成本魚乃,なるもといの,春の服,春装,しゅんそう,haru,三春,,2025,4,199
春日記天気記号を習ひたし,藤田菜々,ふじたなな,春日,春日,はるひ,haru,三春,,2025,4,199
窓際の野菜再生風光る,藤田菜々,ふじたなな,風光る,風光る,かぜひかる,haru,三春,,2025,4,199
｜東《ひんがし》｜に《し》咲く梅の香の届きけり,藤田菜々,ふじたなな,けり,鳧,けり,natsu,三夏,,2025,4,199
｜瑠《る》｜璃《り》並ぶ｜獺《おそ》｜の《そ》｜魚《さかな》｜の《な》祭りかな,藤田菜々,ふじたなな,瑠璃,大瑠璃,おおるり,natsu,三夏,,2025,4,199
掃除機の修理断念｜二《に》｜月《がつ》｜尽《じん》,藤田菜々,ふじたなな,二月尽,二月尽,にがつじん,haru,初春,,2025,4,199
珈琲の豆挽く音や山笑ふ,藤田菜々,ふじたなな,山笑ふ,山笑ふ,やまわらう,haru,三春,,2025,4,199
菜の花や活けて窓辺の花となす,藤田菜々,ふじたなな,菜の花,菜の花,なのはな,haru,晩春,,2025,4,199
朝日浴ぶ空地｜啄《ついば》む春の鳥,藤田菜々,ふじたなな,春の鳥,春の鳥,はるのとり,haru,三春,,2025,4,199
春の鳥まめについばむ野草かな,藤田菜々,ふじたなな,春の鳥,春の鳥,はるのとり,haru,三春,,2025,4,199
｜鷹《たか》｜化《かか》｜し《か》て鳩と｜為《な》｜る《な》日｜や《う》｜虚《うつ》｜ろ《つ》な目,藤田菜々,ふじたなな,鷹化して鳩と為る,鷹化して鳩と為る,たかかしてはととなる,haru,仲春,,2025,4,199
やぶ椿鳴かぬ｜緑《みどり》｜や《り》枝を舞ふ,辛嶋栖守,からしまくるす,椿,椿,つばき,haru,三春,,2025,4,199
大正の父の大志に落椿,辛嶋栖守,からしまくるす,落椿,椿,つばき,haru,三春,,2025,4,199
シチナラベ｜や《か》｜獺《かわうそ》｜祭《うそさい》｜に《い》学び視よ,辛嶋栖守,からしまくるす,祭,祭,まつり,natsu,三夏,,2025,4,199
｜獺《おそ》｜祭《まつ》る音符にも魚にも,辛嶋栖守,からしまくるす,祭,祭,まつり,natsu,三夏,,2025,4,199
｜獺《だつ》｜祭《つさい》｜や《い》｜宇《う》｜宙《ちゆう》｜醸《うじよう》｜造《うぞう》｜き《う》ばう満つ,辛嶋栖守,からしまくるす,祭,祭,まつり,natsu,三夏,,2025,4,199
自販機の陰探る身や春浅し,辛嶋栖守,からしまくるす,春浅し,春浅し,はるあさし,haru,初春,,2025,4,199
父の忌に咲く｜春《しゆん》｜蘭《んらん》｜や《ん》母遺し,辛嶋栖守,からしまくるす,春蘭,春蘭,しゅんらん,haru,仲春,,2025,4,199
リフトから違ひの分かる春の雪,辛嶋栖守,からしまくるす,春の雪,春の雪,はるのゆき,haru,三春,,2025,4,199
いつもの日いつも｜の《く》｜草《くさ》｜野《さのふ》｜蕗《ふき》｜の《きと》｜薹《とう》,辛嶋栖守,からしまくるす,蕗の薹,蕗の薹,ふきのとう,haru,初春,,2025,4,199
｜紅《こう》｜梅《うばい》｜や《い》｜墨《すみ》｜三《みさん》｜色《しよく》｜で《く》描きあげし,辛嶋栖守,からしまくるす,紅梅,紅梅,こうばい,haru,初春,,2025,4,199
｜薄《うすら》｜氷《すらい》｜を《い》負ひし｜緋《ひご》｜鯉《ごい》｜の《い》来たりけり,佐藤南山,さとうなんざん,薄氷,薄氷,うすらい,haru,初春,,2025,4,199
｜水《みず》｜温《ずぬる》｜む《る》｜上《うわ》｜目《わめ》｜遣《づか》｜ひ《か》の｜緋《ひ》｜鯉《ごい》｜か《い》な,佐藤南山,さとうなんざん,水温む,水温む,みずぬるむ,haru,仲春,,2025,4,199
春泥を育む水の命かな,佐藤南山,さとうなんざん,春泥,春泥,しゅんでい,haru,三春,,2025,4,199
春泥は｜野《の》｜積《づみ》｜の《み》石を｜囲《かこ》｜ひ《こ》けり,佐藤南山,さとうなんざん,春泥,春泥,しゅんでい,haru,三春,,2025,4,199
春泥｜の《た》｜弾《たま》｜あ《ま》やまたず打ちにけり,佐藤南山,さとうなんざん,春泥,春泥,しゅんでい,haru,三春,,2025,4,199
夕暮れの枝｜鎮《しず》｜ま《ず》れり春の鳥,佐藤南山,さとうなんざん,春の鳥,春の鳥,はるのとり,haru,三春,,2025,4,199
｜幾《いく》｜た《く》びも｜鷽《うそ》｜の《そ》澄み声朝の空,佐藤南山,さとうなんざん,鷽,鷽,うそ,haru,三春,,2025,4,199
芽吹きたる｜千《ちど》｜鳥《どりが》｜ヶ《りがふ》｜淵《がふち》｜の《ち》｜孤《こし》｜舟《しゆう》｜か《う》な,佐藤南山,さとうなんざん,芽吹,芽立ち,めだち,haru,仲春,,2025,4,199
冴え返る｜千《ち》｜鳥《どり》｜ヶ《りが》｜淵《ふち》や昼の酒,佐藤南山,さとうなんざん,冴え返る,冴返る,さえかえる,haru,初春,,2025,4,199
｜転《うたた》｜寝《たね》のやをら目覚めり春の雪,佐藤南山,さとうなんざん,春の雪,春の雪,はるのゆき,haru,三春,,2025,4,199
三月や孫の旅立ち悲しかる,野本末枝,のもとみえ,三月,三月,さんがつ,haru,仲春,,2025,4,199
卒業の姉と弟成長す,野本末枝,のもとみえ,卒業,卒業,そつぎょう,haru,仲春,,2025,4,199
畑焼くや｜山《さん》｜林《んりん》｜火《んか》｜災《さい》｜の《い》｜大《だい》｜惨《いさん》｜事《んじ》,野本末枝,のもとみえ,畑焼く,畑焼く,はたやく,haru,初春,,2025,4,199
｜沈《じん》｜丁《ちよう》｜花《げ》香りの強さピンク白,野本末枝,のもとみえ,沈丁花,沈丁花,じんちょうげ,haru,三春,,2025,4,199
｜蕗《ふき》｜の《きと》｜薹《とう》｜天《う》プラにすにが味あり,野本末枝,のもとみえ,蕗の薹,蕗の薹,ふきのとう,haru,初春,,2025,4,199
｜田《い》｜舎《なか》｜墓《かぼ》｜地《ち》線香香る｜彼《ひ》｜岸《がん》｜桜《ざくら》,野本末枝,のもとみえ,彼岸桜,彼岸桜,ひがんざくら,haru,仲春,,2025,4,199
｜彼《ひが》｜岸《がんざ》｜桜《んざくら》｜先《ら》祖参りの墓地に咲く,野本末枝,のもとみえ,彼岸桜,彼岸桜,ひがんざくら,haru,仲春,,2025,4,199
公園にぽつりと赤い｜落《おちつ》｜椿《つばき》,野本末枝,のもとみえ,落椿,椿,つばき,haru,三春,,2025,4,199
掃き寄せて根元に列し｜落《おちつ》｜椿《つばき》,野本末枝,のもとみえ,落椿,椿,つばき,haru,三春,,2025,4,199
｜落《おちつ》｜椿《ちつばきす》｜水《きすいそ》｜槽《いそう》｜に《う》浮かべて眺めけり,野本末枝,のもとみえ,落椿,椿,つばき,haru,三春,,2025,4,199
固まりし絵具溶かして｜描《か》く椿,舛岡正弘,まさおかまさひろ,椿,椿,つばき,haru,三春,,2025,4,199
｜古《こ》｜稀《き》過ぎて｜昔《は》｜恥《はじ》｜る《じ》や浮かれ猫,舛岡正弘,まさおかまさひろ,浮かれ猫,猫の恋,ねこのこい,haru,初春,,2025,4,199
｜水《みず》｜温《ずぬる》｜む《る》今朝も｜只《ただ》｜々《だただ》｜豆《だ》腐寄す,舛岡正弘,まさおかまさひろ,水温む,水温む,みずぬるむ,haru,仲春,,2025,4,199
｜壬《み》｜生《ぶ》｜菜《な》買｜ふ《お》｜沖《おき》｜田《きたそ》｜総《そう》｜司《うし》の｜影《し》｜慕《した》｜ふ《た》,舛岡正弘,まさおかまさひろ,壬生菜,壬生菜,みぶな,haru,初春,,2025,4,199
老犬｜の《さ》｜最《さい》｜期《いご》の春やリード引く,舛岡正弘,まさおかまさひろ,春,春,はる,haru,三春,,2025,4,199
｜一《いち》｜握《あく》｜の《く》思ひのずれる｜春《はる》｜隣《どなり》,舛岡正弘,まさおかまさひろ,春隣,春近し,はるちかし,huyu,晩冬,,2025,4,199
インスタに上げた｜き《だ》｜獺《だつさ》｜祭《つさいい》｜未《いいま》｜だ《ま》見ず,舛岡正弘,まさおかまさひろ,祭,祭,まつり,natsu,三夏,,2025,4,199
｜佐《さ》｜保《ほ》｜姫《ひめ》｜の《めそ》｜袖《そで》｜触《で》れ行くや｜祭《まつり》｜旗《りばた》,青山鹿乃子,あおやまかのこ,佐保姫,佐保姫,さほひめ,haru,三春,,2025,4,199
｜扁《へん》｜額《がく》は梅の一文字梅の寺,青山鹿乃子,あおやまかのこ,一文字,葱,ねぎ,huyu,三冬,,2025,4,199
｜杣《そまや》｜山《まやま》｜を《ま》ねぎらふ雪の別れかな,青山鹿乃子,あおやまかのこ,雪の別れ,雪の果,ゆきのはて,haru,仲春,,2025,4,199
春泥の長靴並ぶ赤黄黒,青山鹿乃子,あおやまかのこ,春泥,春泥,しゅんでい,haru,三春,,2025,4,199
春鳥の｜上《ほつ》｜枝《つえ》に｜広《ひろ》｜ぐ《ろ》｜無《む》｜垢《く》の空,青山鹿乃子,あおやまかのこ,春,春,はる,haru,三春,,2025,4,199
星｜の《く》｜屑《くず》｜飲《ず》｜む《は》｜蛤《はまぐり》｜の《り》夜鳴きかな,青山鹿乃子,あおやまかのこ,蛤,蛤,はまぐり,haru,三春,,2025,4,199
橋の上｜鳶《とび》｜掠《びかす》｜め《す》ゆく春ショール,青山鹿乃子,あおやまかのこ,春ショール,春ショール,はるしょーる,haru,三春,,2025,4,199
｜莟《つぼみ》｜落《み》つ椿ものうき｜西《にし》｜日《しび》かな,萼草子,,西日,西日,にしび,natsu,晩夏,,2025,4,199
椿添ふ｜将《まさ》｜門《かど》｜塚《づか》の乙女かな,萼草子,,椿,椿,つばき,haru,三春,,2025,4,199
空港の｜獺《おそ》の祭や｜駐《ちゆう》｜機《き》｜場《じよう》,萼草子,,祭,祭,まつり,natsu,三夏,,2025,4,199
｜獺《だつ》｜祭《さい》や｜金《こん》｜平《ぺい》｜糖《とう》は缶の底,萼草子,,祭,祭,まつり,natsu,三夏,,2025,4,199
｜紫《むらさき》｜立《きだ》つ｜節《せつ》｜分《ぶん》｜会《え》かな黒豆茶,萼草子,,節分,節分,せつぶん,huyu,晩冬,,2025,4,199
｜立《りつし》｜春《つしゆん》｜大《んだいき》｜吉《いきち》｜地《ち》蔵微笑む社務所口,萼草子,,立春大吉,立春,りっしゅん,haru,初春,,2025,4,199
清流に身｜浄《きよ》｜め《よ》｜獺《おそ》｜の《そ》祭りかな,今村藤生,いまむらとうせい,祭,祭,まつり,natsu,三夏,,2025,4,199
せせらぎに鳥歌ひけり｜獺《おそま》｜祭《まつり》,今村藤生,いまむらとうせい,けり,鳧,けり,natsu,三夏,,2025,4,199
己が｜儘《まま》｜咲《ま》きて落ちけり｜藪《やぶつ》｜椿《つばき》,今村藤生,いまむらとうせい,藪椿,椿,つばき,haru,三春,,2025,4,199
落椿ガラシャの如く時を知り,今村藤生,いまむらとうせい,落椿,椿,つばき,haru,三春,,2025,4,199
二月の木朝日の中｜の《は》｜花《はな》｜芽《なめ》かな,今村藤生,いまむらとうせい,二月,二月,にがつ,haru,初春,,2025,4,199
大声の歌ふ｜幼《おさ》｜子《さなご》｜花《はな》｜芽《め》｜萌《も》ゆ,今村藤生,いまむらとうせい,萌,下萌,したもえ,haru,初春,,2025,4,199
春泥や一歩一歩と手をつなぐ,戎井風蓮,えびすいふうれん,春泥,春泥,しゅんでい,haru,三春,,2025,4,199
足あとを｜辿《たど》｜つ《ど》て進む春の泥,戎井風蓮,えびすいふうれん,春の泥,春泥,しゅんでい,haru,三春,,2025,4,199
｜庭《にわ》｜木《き》揺れ｜常《じよう》｜連《れん》｜客《きやく》の春の鳥,戎井風蓮,えびすいふうれん,春の鳥,春の鳥,はるのとり,haru,三春,,2025,4,199
春の鳥｜見《みま》｜守《まも》｜り《も》される庭いぢり,戎井風蓮,えびすいふうれん,春の鳥,春の鳥,はるのとり,haru,三春,,2025,4,199
日曜日｜出《で》｜不《ぶ》｜精《しよう》｜に《う》なる春の雨,戎井風蓮,えびすいふうれん,春の雨,春の雨,はるのあめ,haru,三春,,2025,4,199
春泥の｜鼓《こど》｜動《どう》｜冷《う》たきアスファルト,浜田幸子,はまださちこ,冷たき,冷たし,つめたし,huyu,三冬,,2025,4,199
｜春《しゆん》｜禽《きん》｜や《ん》初めの仕事に一声す,浜田幸子,はまださちこ,春禽,春の鳥,はるのとり,haru,三春,,2025,4,199
やんはりとページをめくり春の雪,浜田幸子,はまださちこ,春の雪,春の雪,はるのゆき,haru,三春,,2025,4,199
春の鳥それはもう恋じやないかしら,浜田幸子,はまださちこ,春の鳥,春の鳥,はるのとり,haru,三春,,2025,4,199
